"trigram","n_pos","n_neg","log_odds"
"price car",0,3,-1.72557420669273
"price list",0,3,-1.72557420669273
"private party",0,3,-1.72557420669273
"production manager",0,3,-1.72557420669273
"ra sushi",0,3,-1.72557420669273
"raw meat",0,3,-1.72557420669273
"real complaint",0,3,-1.72557420669273
"recommend eat",0,3,-1.72557420669273
"regular vet",0,3,-1.72557420669273
"round table",0,3,-1.72557420669273
"rude employee",0,3,-1.72557420669273
"rude hostess",0,3,-1.72557420669273
"service adviser",0,3,-1.72557420669273
"service skill",0,3,-1.72557420669273
"shower door",0,3,-1.72557420669273
"shower head",0,3,-1.72557420669273
"slow leak",0,3,-1.72557420669273
"start call",0,3,-1.72557420669273
"step dad",0,3,-1.72557420669273
"sushi joint",0,3,-1.72557420669273
"table inside",0,3,-1.72557420669273
"tea shop",0,3,-1.72557420669273
"thick noodle",0,3,-1.72557420669273
"time period",0,3,-1.72557420669273
"tiny table",0,3,-1.72557420669273
"valet park",0,3,-1.72557420669273
"vega experience",0,3,-1.72557420669273
"women's bathroom",0,3,-1.72557420669273
"wrong time",0,3,-1.72557420669273
"bite slow",1,8,-1.84335724234911
"limit seat",1,8,-1.84335724234911
"hour wait",2,13,-1.87972488651999
"bite hard",1,9,-1.94871775800694
"engine light",1,9,-1.94871775800694
"al dente",0,4,-1.94871775800694
"bad attitude",0,4,-1.94871775800694
"bbq joint",0,4,-1.94871775800694
"bite awkward",0,4,-1.94871775800694
"bite loud",0,4,-1.94871775800694
"bus boy",0,4,-1.94871775800694
"gonna lie",0,4,-1.94871775800694
"hair dresser",0,4,-1.94871775800694
"jam pack",0,4,-1.94871775800694
"kfc fry",0,4,-1.94871775800694
"major issue",0,4,-1.94871775800694
"negative experience",0,4,-1.94871775800694
"park situation",0,4,-1.94871775800694
"peak time",0,4,-1.94871775800694
"pretty loud",0,4,-1.94871775800694
"scam artist",0,4,-1.94871775800694
"send food",0,4,-1.94871775800694
"tad bite",0,4,-1.94871775800694
"water spot",0,4,-1.94871775800694
"absolutely hate",0,5,-2.13103931480089
"bad customer",0,5,-2.13103931480089
"bathroom door",0,5,-2.13103931480089
"bite overwhelm",0,5,-2.13103931480089
"bite soggy",0,5,-2.13103931480089
"degree weather",0,5,-2.13103931480089
"eye contact",0,5,-2.13103931480089
"fairmount bagel",0,5,-2.13103931480089
"flat tire",0,5,-2.13103931480089
"mistake happen",0,5,-2.13103931480089
"pay extra",0,5,-2.13103931480089
"pretty expensive",0,5,-2.13103931480089
"rat rat",0,5,-2.13103931480089
"slightly disappoint",0,5,-2.13103931480089
"taste funny",0,5,-2.13103931480089
"terrible service",0,5,-2.13103931480089
"accept cash",0,6,-2.28518999462815
"bite odd",0,6,-2.28518999462815
"breakfast food",0,6,-2.28518999462815
"people complain",0,6,-2.28518999462815
"arrive late",0,7,-2.41872138725267
"bite confuse",0,7,-2.41872138725267
"blah blah",0,7,-2.41872138725267
"dinner menu",0,7,-2.41872138725267
"luke warm",0,7,-2.41872138725267
"strip club",0,7,-2.41872138725267
"terrible experience",0,7,-2.41872138725267
"rush hour",0,8,-2.53650442290906
"bite disappoint",0,9,-2.64186493856688
"pretty bad",0,9,-2.64186493856688
"wait forever",0,9,-2.64186493856688
